Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile
2054897039994464,1 to 8 Years,B.Com,$65K-$128K,Dili,Timor-Leste,-8.8742,125.7275,Full-Time,56123,2023-01-09,Both,David James,752.508.9475,Project Coordinator,Administrative Coordinator,SimplyHired,"Administrative Coordinators support administrative tasks, including data entry, scheduling, and document management, to enhance organizational efficiency.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Office administration Communication skills Organizational skills Time management Microsoft Office proficiency,"Provide administrative support to project teams, including scheduling meetings, managing documents, and handling logistics. Prepare project reports and presentations. Track project budgets and expenses.",China Southern Airlines,"{""Sector"":""Aviation and Travel"",""Industry"":""Airlines & Aviation"",""City"":""Guangzhou"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""http://www.csair.com/"",""Ticker"":""600029"",""CEO"":""Ma Xulun""}"
2745941799622450,1 to 9 Years,MCA,$63K-$86K,Quito,Ecuador,-1.8312,-78.1834,Part-Time,116661,2023-07-02,Both,Robert Carpenter,584-881-2554x1370,Network Administrator,Network Security Analyst,Stack Overflow Jobs,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures.",American Airlines Group,"{""Sector"":""Airlines"",""Industry"":""Airlines"",""City"":""Fort Worth"",""State"":""Texas"",""Zip"":""76155"",""Website"":""www.aa.com"",""Ticker"":""AAL"",""CEO"":""Robert D. Isom""}"
2581753196527914,4 to 15 Years,M.Com,$64K-$89K,Sofia,Bulgaria,42.7339,25.4858,Full-Time,93118,2022-03-25,Female,Tony Flores,(581)322-1421,Customer Support Specialist,Help Desk Analyst,Jobs2Careers,"Help Desk Analysts provide technical support and assistance to internal employees or external customers. They troubleshoot hardware and software issues, offer solutions, and document support interactions to maintain a reliable IT environment.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills,"Respond to help desk tickets, assist users, and escalate issues as needed to ensure timely resolution. Document and track support requests and resolutions. Provide training and guidance to end-users.",Continental Resources,"{""Sector"":""Energy"",""Industry"":""Mining, Crude-Oil Production"",""City"":""Oklahoma City"",""State"":""Oklahoma"",""Zip"":""73102"",""Website"":""www.clr.com"",""Ticker"":"""",""CEO"":""Robert D. Lawler""}"
2048024540183040,0 to 12 Years,PhD,$61K-$98K,Road Town,British Virgin Islands,18.4207,-64.6399,Temporary,86037,2022-10-22,Male,Tammy Baker,+1-954-710-3485x776,Procurement Specialist,Sourcing Analyst,Idealist,"Sourcing Analysts research and analyze potential suppliers, evaluate procurement strategies, and negotiate contracts to secure cost-effective and quality supplies.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation,Identify and evaluate potential suppliers and sourcing opportunities. Analyze market trends and supplier performance. Negotiate contracts and terms with suppliers.,Rentokil Initial,"{""Sector"":""Business Services"",""Industry"":""Business Services - Pest Control"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.rentokil-initial.com"",""Ticker"":""RTO.L"",""CEO"":""Andy Ransom""}"
2375212025659370,4 to 9 Years,MBA,$58K-$96K,Valletta,Malta,35.9375,14.3754,Part-Time,132925,2022-11-22,Male,Timothy Green,001-895-447-5453x12605,Web Developer,Frontend Web Developer,Internships.com,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)","Design and code user interfaces for websites, ensuring a seamless and visually appealing user experience. Collaborate with UX designers to optimize user journeys. Ensure cross-browser compatibility and responsive design.",Jabil,"{""Sector"":""Manufacturing"",""Industry"":""Semiconductors and Other Electronic Components"",""City"":""St. Petersburg"",""State"":""Florida"",""Zip"":""33716"",""Website"":""www.jabil.com"",""Ticker"":""JBL"",""CEO"":""Mark T. Mondello""}"
1035702894488981,1 to 14 Years,B.Com,$64K-$89K,Buenos Aires,Argentina,-38.4161,-63.6167,Full-Time,43223,2023-03-05,Female,Alyssa West,001-433-287-1040,Marketing Analyst,Data Analyst,Idealist,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.,Carnival Corporation & plc,"{""Sector"":""Travel/Cruise Lines"",""Industry"":""Travel and Leisure - Cruises"",""City"":""Miami"",""State"":""FL"",""Zip"":""33178"",""Website"":""https://www.carnivalcorp.com/"",""Ticker"":""CCL"",""CEO"":""Arnold W. Donald""}"
293951858874835,4 to 10 Years,B.Com,$57K-$103K,Phnom Penh,Cambodia,12.5657,104.9909,Full-Time,66549,2023-07-08,Male,Isabel Gillespie,001-298-635-4303x1102,Event Planner,Wedding Planner,USAJOBS,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,"Specialize in wedding planning, assisting couples in creating their dream weddings. Select and manage vendors, plan ceremonies, and handle wedding day coordination. Provide creative and budget-conscious solutions.",Alibaba Group,"{""Sector"":""E-commerce"",""Industry"":""E-commerce & Technology"",""City"":""Hangzhou"",""State"":""Zhejiang"",""Zip"":""310000"",""Website"":""https://www.alibabagroup.com/"",""Ticker"":""BABA"",""CEO"":""Daniel Zhang""}"
514525482128537,1 to 10 Years,PhD,$64K-$124K,New Delhi,India,20.5937,78.9629,Contract,52107,2023-08-09,Both,Michael Garcia,(579)391-9686x516,Customer Service Manager,Service Quality Assurance Manager,Indeed,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,Ensure service quality and consistency by defining and implementing QA standards and processes. Conduct regular quality audits and provide feedback to the team. Identify areas for improvement and training.,"Facebook, Inc. (now Meta Platforms, Inc.)","{""Sector"":""Technology/Internet"",""Industry"":""Technology"",""City"":""Menlo Park"",""State"":""CA"",""Zip"":""94025"",""Website"":""https://www.meta.com/"",""Ticker"":""FB"",""CEO"":""Mark Zuckerberg""}"
1601079081984887,1 to 13 Years,PhD,$62K-$87K,Mbabane,Eswatini,26.5225,31.4659,Temporary,83360,2022-07-10,Female,Jessica Roberts,349.293.1342x92436,Structural Engineer,Design Engineer,SimplyHired,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,Design structural systems and components for buildings and infrastructure projects. Perform structural analysis and calculations. Create detailed design plans and specifications.,Lennar,"{""Sector"":""Construction"",""Industry"":""Homebuilders"",""City"":""Miami"",""State"":""Florida"",""Zip"":""33126"",""Website"":""www.lennar.com"",""Ticker"":""LEN"",""CEO"":""Jonathan M. Jaffe""}"
1584673704528887,2 to 12 Years,B.Com,$61K-$81K,Ṣo Tom̩,Sao Tome and Principe,0.1864,6.6131,Intern,14040,2023-08-20,Female,Zachary Robertson,448.871.6169x358,Mechanical Engineer,Mechanical Design Engineer,ZipRecruiter,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}","Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping","Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses.",Coal India Limited,"{""Sector"":""Mining"",""Industry"":""Mining"",""City"":""Kolkata"",""State"":""West Bengal"",""Zip"":""700001"",""Website"":""https://www.coalindia.in/"",""Ticker"":""COALINDIA"",""CEO"":""Pramod Agrawal""}"
